"Postaja","Glob_sevanje_max","Glob_sevanje_mean","Glob_sevanje_min","Hitrost_vetra_max","Hitrost_vetra_mean","Hitrost_vetra_min","Sunki_vetra_max","Sunki_vetra_mean","Sunki_vetra_min","Padavine_mean","Padavine_sum","Pritisk_max","Pritisk_mean","Pritisk_min","Vlaga_max","Vlaga_mean","Vlaga_min","Temperatura_Krvavec_max","Temperatura_Krvavec_mean","Temperatura_Krvavec_min","Temperatura_lokacija_max","Temperatura_lokacija_mean","Temperatura_lokacija_min","PM10","O3","mesec","letni_cas","dan"
"1861","Ljubljana",9,1.125,0,1.9,0.9,0.4,6.8,2.5125,1,1.3375,10.4,975.7,974.3875,973.4,98.2,97.3375,95.4,6.1,5.8625,5.6,13.6,13.075,12.8,14.8,39.45,11,"jesen","èetrtek"
"1392","Ljubljana",53,16.625,0,2,0.9375,0.3,6.5,2.625,1.3,0.175,1.6,968.9,968.025,967.6,86.9,79.4125,70.5,2.2,2.0375,1.8,13.1,11.675,10.8,8.7,68.1,5,"spomlad","èetrtek"
"1644","Ljubljana",130,17.875,0,1.1,0.6625,0.3,2.6,2.025,1.1,0,0,993.5,991.25,989.9,86,80.5375,71.5,-0.6,-1.5625,-2.6,7,4.8375,3.4,49.1,82.95,3,"zima","sobota"
"282","Koper",49.9,6.6,0,3.8,2.625,1.6,7.3,5.2,3.3,0,0,1018,1017.4,1017,74.7,72.5,70.1,8.6,8.3625,8.2,20.5,20.0625,19.7,24.4,77.6,10,"jesen","ponedeljek"
"1803","Ljubljana",216,49.625,0,0.9,0.3125,0,1.7,0.9625,0.3,0,0,984.2,984.025,983.8,97.8,95.25,91.5,12.4,10.7,9.3,14.6,13.5375,12.4,23,95.85,8,"poletje","sobota"
"720","Koper",17,2.125,0,2.7,1.8375,0.8,4.3,3.175,1.2,0,0,1000,998.3,996.6,82.5,75.55,62.4,-9.2,-9.7125,-10.2,5,2.05,0.4,19.6,71.6,2,"zima","ponedeljek"
"2205","Ljubljana",284,47.625,0,1.1,0.575,0.2,3,1.4125,0.7,0,0,983.6,982.825,982.4,88.2,84.0125,81.1,2.3,-0.4625,-1.9,4.4,3.5625,2.1,26.1,95.6,3,"spomlad","nedelja"
"808","Koper",223,59.125,0,5.6,2.925,1.7,10.7,5.2375,3.3,0,1.8,1016.1,1014.275,1013.5,80.8,75.5,67.1,2.4,1.875,1.3,16.3,14.475,13,14.1,108.8,5,"spomlad","petek"
"2310","Ljubljana",447,106,0,1.1,0.5875,0.2,2.2,1.625,0.6,0,0,978.9,978.6,978.3,81,74.0875,61.1,16.1,15.5375,15,24.5,21.575,19.9,28.3,135.3,7,"poletje","torek"
"152","Koper",420,103,0,2.3,1.675,0.9,3.7,2.8,1.7,0,0,1016.4,1015.8125,1015.5,74.1,66.875,54.6,13.7,11.1625,9.6,24,19.7125,17.7,19.8,157.45,6,"spomlad","petek"
